MJD,mag,error,filter,source
58751.3806019,20.14,0.177,i,ZTF
59108.3476505,20.413,0.263,i,ZTF
59125.363588,19.841,0.209,i,ZTF
59439.4110069,20.12,0.177,i,ZTF
59460.4926389,20.586,0.196,i,ZTF
59469.4544792,20.828,0.314,i,ZTF
59512.3490972,20.817,0.319,i,ZTF
59526.3125926,20.403,0.196,i,ZTF
59550.2472569,20.343,0.208,i,ZTF
58302.4641782,20.022,0.177,i,ZTF
58319.4868866,20.058,0.145,i,ZTF
58337.4735532,20.137,0.224,i,ZTF
58351.3419907,20.243,0.175,i,ZTF
58397.2969907,21.009,0.316,i,ZTF
58426.302419,20.068,0.194,i,ZTF
58672.447037,20.198,0.233,i,ZTF
58682.4413657,20.17,0.341,i,ZTF
58701.4196181,20.629,0.243,i,ZTF
58709.4318519,20.558,0.277,i,ZTF
58733.4300347,20.225,0.194,i,ZTF
58747.3495949,20.168,0.212,i,ZTF
58751.3587616,20.27,0.236,i,ZTF
58761.3120139,19.93,0.162,i,ZTF
58765.3108102,19.983,0.258,i,ZTF
58769.3093981,19.601,0.197,i,ZTF
59220.1786458,20.472,0.175,i,ZTF
59232.2397454,20.227,0.231,i,ZTF
59253.1318287,19.896,0.149,i,ZTF
59268.1378819,19.979,0.222,i,ZTF
59395.4601968,19.559,0.188,i,ZTF
59403.4598958,20.181,0.157,i,ZTF
59427.4117477,19.991,0.202,i,ZTF
59430.4441435,20.235,0.189,i,ZTF
59434.3914005,20.278,0.23,i,ZTF
59464.3665162,20.578,0.328,i,ZTF
59512.2476736,20.497,0.177,i,ZTF
59517.321794,20.767,0.22,i,ZTF
59526.3116551,20.591,0.213,i,ZTF
59542.2412384,20.218,0.196,i,ZTF
59550.2020023,20.061,0.134,i,ZTF
58706.5041204,20.903,0.313,r,ZTF
58747.4110995,20.426,0.175,r,ZTF
58748.3516898,20.443,0.222,r,ZTF
58750.307963,20.635,0.164,r,ZTF
58758.3266319,20.346,0.145,r,ZTF
58726.3886227,21.127,0.233,r,ZTF
58718.5126157,20.786,0.293,r,ZTF
58738.3650694,20.595,0.211,r,ZTF
58747.4115509,20.664,0.271,r,ZTF
58750.3084144,20.536,0.166,r,ZTF
58761.3676852,20.698,0.233,r,ZTF
58763.2876273,20.65,0.231,r,ZTF
58303.4671296,20.438,0.248,r,ZTF
58321.4764236,20.841,0.169,r,ZTF
58324.4645602,20.851,0.174,r,ZTF
58423.3074306,20.699,0.2,r,ZTF
58426.2640856,20.601,0.167,r,ZTF
58426.2650579,20.835,0.211,r,ZTF
58429.2633681,20.665,0.193,r,ZTF
58430.2029977,20.517,0.171,r,ZTF
58432.2757176,20.517,0.264,r,ZTF
58437.3018866,20.75,0.194,r,ZTF
58455.3009722,20.581,0.176,r,ZTF
58464.2813889,20.191,0.255,r,ZTF
58468.2603588,20.6,0.224,r,ZTF
58469.1957407,20.035,0.351,r,ZTF
58639.4656597,20.799,0.351,r,ZTF
58727.4862963,21.124,0.275,r,ZTF
58730.4250116,21.179,0.226,r,ZTF
58733.4088079,20.709,0.17,r,ZTF
58749.2994444,20.612,0.168,r,ZTF
58760.3265162,20.294,0.139,r,ZTF
58763.3368171,20.357,0.159,r,ZTF
58775.1365856,20.389,0.274,r,ZTF
58777.136794,20.187,0.228,r,ZTF
58778.1369792,20.613,0.223,r,ZTF
58783.1370023,20.785,0.325,r,ZTF
58787.1359144,20.223,0.327,r,ZTF
58893.129537,21.326,0.204,r,ZTF
59232.160463,20.728,0.152,r,ZTF
59222.2149769,21.054,0.297,r,ZTF
59053.4676852,21.505,0.312,r,ZTF
59054.4323611,21.117,0.209,r,ZTF
